,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
1,4227,"г. Новосибирск, ул. Народная, д. 81",УК «ЖКХ-Гарант»,265-55-60,1986,6 532.60,220
2,4228,"г. Новосибирск, ул. Новая Заря, д. 15",УК «ЖКХ-Гарант»,265-55-60,1970,7 097.10,238
3,4229,"г. Новосибирск, ул. Новая Заря, д. 17",УК «ЖКХ-Гарант»,265-55-60,1969,7 003.30,237
4,4230,"г. Новосибирск, ул. Новая Заря, д. 18",УК «ЖКХ-Гарант»,265-55-60,1951,240.90,28
5,4231,"г. Новосибирск, ул. Новая Заря, д. 19",УК «ЖКХ-Гарант»,265-55-60,1968,7 122.50,237
6,4232,"г. Новосибирск, ул. Новая Заря, д. 20",УК «ЖКХ-Гарант»,265-55-60,1949,76.80,5
7,4233,"г. Новосибирск, ул. Новая Заря, д. 21",УК «ЖКХ-Гарант»,265-55-60,1970,7 086.80,257
8,4234,"г. Новосибирск, ул. Новая Заря, д. 23",УК «ЖКХ-Гарант»,265-55-60,1969,7 121.30,243
9,4235,"г. Новосибирск, ул. Новая Заря, д. 25",УК «ЖКХ-Гарант»,265-55-60,1970,6 932.50,259
10,4236,"г. Новосибирск, ул. Новая Заря, д. 33а",УК «ЖКХ-Гарант»,265-55-60,2004,2 067.70,50
11,4237,"г. Новосибирск, ул. Новая Заря, д. 40",УК «ЖКХ-Гарант»,265-55-60,1988,8 334.70,311
12,4238,"г. Новосибирск, ул. Новочеркасская, д. 2а",УК «ЖКХ-Гарант»,265-55-60,1986,8 508.60,334
13,4239,"г. Новосибирск, ул. Объединения, д. 4",УК «ЖКХ-Гарант»,265-55-60,1953,717.70,27
14,4240,"г. Новосибирск, ул. Объединения, д. 22",УК «ЖКХ-Гарант»,265-55-60,2002,1 396.90,17
15,4241,"г. Новосибирск, ул. Объединения, д. 24",УК «ЖКХ-Гарант»,265-55-60,2001,1 442.90,35
16,4242,"г. Новосибирск, ул. Объединения, д. 26",УК «ЖКХ-Гарант»,265-55-60,1951,702.50,26
17,4243,"г. Новосибирск, ул. Объединения, д. 42",УК «ЖКХ-Гарант»,265-55-60,1974,7 730.30,211
18,4244,"г. Новосибирск, ул. Объединения, д. 44",УК «ЖКХ-Гарант»,265-55-60,1972,7 166.10,2 281
19,4245,"г. Новосибирск, ул. Объединения, д. 52",УК «ЖКХ-Гарант»,265-55-60,1968,5 342.80,278
20,4246,"г. Новосибирск, ул. Объединения, д. 54",УК «ЖКХ-Гарант»,265-55-60,1965,5 321.70,166
21,4247,"г. Новосибирск, ул. Объединения, д. 56",УК «ЖКХ-Гарант»,265-55-60,1967,5 649.00,185
22,4248,"г. Новосибирск, ул. Олеко Дундича, д. 1",УК «ЖКХ-Гарант»,265-55-60,1980,18 695.50,666
23,4249,"г. Новосибирск, ул. Олеко Дундича, д. 3",УК «ЖКХ-Гарант»,265-55-60,1981,29 850.40,1 147
24,4250,"г. Новосибирск, ул. Олеко Дундича, д. 9а",УК «ЖКХ-Гарант»,265-55-60,1949,502.20,26
1,4252,"г. Новосибирск, ул. Олеко Дундича, д. 11",УК «ЖКХ-Гарант»,265-55-60,1949,370.10,30
2,4253,"г. Новосибирск, ул. Олеко Дундича, д. 11а",УК «ЖКХ-Гарант»,265-55-60,1949,380.00,30
3,4254,"г. Новосибирск, ул. Олеко Дундича, д. 20",УК «ЖКХ-Гарант»,265-55-60,1951,402.60,27
4,4255,"г. Новосибирск, ул. Олеко Дундича, д. 21",УК «ЖКХ-Гарант»,265-55-60,1971,9 780.90,384
5,4256,"г. Новосибирск, ул. Олеко Дундича, д. 21/1",УК «ЖКХ-Гарант»,265-55-60,1970,5 324.80,185
6,4257,"г. Новосибирск, ул. Олеко Дундича, д. 21/2",УК «ЖКХ-Гарант»,265-55-60,1970,5 263.50,164
7,4258,"г. Новосибирск, ул. Олеко Дундича, д. 23",УК «ЖКХ-Гарант»,265-55-60,1971,10 146.70,381
8,4259,"г. Новосибирск, ул. Олеко Дундича, д. 23/1",УК «ЖКХ-Гарант»,265-55-60,1970,5 465.20,141
9,4260,"г. Новосибирск, ул. Олеко Дундича, д. 23/2",УК «ЖКХ-Гарант»,265-55-60,1969,5 328.20,173
10,4261,"г. Новосибирск, ул. Олеко Дундича, д. 23/3",УК «ЖКХ-Гарант»,265-55-60,1969,5 471.80,180
11,4262,"г. Новосибирск, ул. Олеко Дундича, д. 27",УК «ЖКХ-Гарант»,265-55-60,1970,10 417.10,374
12,4263,"г. Новосибирск, ул. Олеко Дундича, д. 27/1",УК «ЖКХ-Гарант»,265-55-60,1969,4 462.60,197
13,4264,"г. Новосибирск, ул. Олеко Дундича, д. 27/2",УК «ЖКХ-Гарант»,265-55-60,1970,4 468.60,207
14,4265,"г. Новосибирск, ул. Тамбовская, д. 39",УК «ЖКХ-Гарант»,265-55-60,1987,15 804.70,628
15,4266,"г. Новосибирск, ул. Тамбовская, д. 43",УК «ЖКХ-Гарант»,265-55-60,1988,9 785.00,374
16,4267,"г. Новосибирск, ул. Учительская, д. 15",УК «ЖКХ-Гарант»,265-55-60,1973,4 269.80,106
17,4268,"г. Новосибирск, ул. Учительская, д. 17",УК «ЖКХ-Гарант»,265-55-60,1971,4 407.70,112
18,4269,"г. Новосибирск, ул. Учительская, д. 18",УК «ЖКХ-Гарант»,265-55-60,1971,5 689.70,137
19,4270,"г. Новосибирск, ул. Учительская, д. 19",УК «ЖКХ-Гарант»,265-55-60,1972,4 436.60,107
20,4271,"г. Новосибирск, ул. Учительская, д. 19/1",УК «ЖКХ-Гарант»,265-55-60,1972,16 522.70,543
21,4272,"г. Новосибирск, ул. Учительская, д. 19/2",УК «ЖКХ-Гарант»,265-55-60,1973,8 463.10,249
22,4273,"г. Новосибирск, ул. Учительская, д. 19/3",УК «ЖКХ-Гарант»,265-55-60,1972,4 270.80,129
23,4274,"г. Новосибирск, ул. Учительская, д. 20",УК «ЖКХ-Гарант»,265-55-60,1971,5 901.50,176
24,4275,"г. Новосибирск, ул. Учительская, д. 21",УК «ЖКХ-Гарант»,265-55-60,1971,4 223.50,104
1,4277,"г. Новосибирск, ул. Учительская, д. 24",УК «ЖКХ-Гарант»,265-55-60,1978,12 838.30,306
2,4278,"г. Новосибирск, ул. Учительская, д. 24/1",УК «ЖКХ-Гарант»,265-55-60,1994,14 998.70,485
3,4279,"г. Новосибирск, ул. Фадеева, д. 22",УК «ЖКХ-Гарант»,265-55-60,1993,11 240.00,413
4,4280,"г. Новосибирск, ул. Фадеева, д. 24",УК «ЖКХ-Гарант»,265-55-60,1992,13 562.70,483
5,4281,"г. Новосибирск, ул. Фадеева, д. 85",УК «ЖКХ-Гарант»,265-55-60,1985,10 911.20,394
6,4282,"г. Новосибирск, ул. Фадеева, д. 91",УК «ЖКХ-Гарант»,265-55-60,1993,16 226.50,565
7,4283,"г. Новосибирск, ул. Вертковская, д. 22",УК «УК ЖКХ-Стандарт»,+7-905-937-8426,1950,3 634.30,63
8,4284,"г. Новосибирск, ул. Вертковская, д. 24",УК «УК ЖКХ-Стандарт»,+7-905-937-8426,1954,3 646.60,84
9,4285,"г. Новосибирск, пер. Римского-Корсакова 2-й, д. 11",УК «УК ЖКХ-Стандарт»,+7-905-937-8426,1996,3 085.90,39
10,4286,"г. Новосибирск, ул. Серафимовича, д. 14",УК «УК ЖКХ-Стандарт»,+7-905-937-8426,1985,6 138.90,411
11,4287,"г. Новосибирск, ул. 25 лет Октября, д. 6",УК «Жфс»,265-84-17,1957,3 000.50,101
12,4288,"г. Новосибирск, ул. Авиастроителей, д. 1|2",УК «Жфс»,265-84-17,1961,3 446.40,85
13,4289,"г. Новосибирск, ул. Авиастроителей, д. 2/2",УК «Жфс»,265-84-17,1992,19 105.80,1 008
14,4290,"г. Новосибирск, ул. Авиастроителей, д. 3",УК «Жфс»,265-84-17,1936,4 955.80,160
15,4291,"г. Новосибирск, ул. Восход, д. 26/1",УК «Жфс»,265-84-17,2006,13 140.50,159
16,4292,"г. Новосибирск, ул. Дениса Давыдова, д. 1/1",УК «Жфс»,265-84-17,1984,5 617.30,299
17,4293,"г. Новосибирск, ул. Дениса Давыдова, д. 2",УК «Жфс»,265-84-17,1958,2 675.00,115
18,4294,"г. Новосибирск, ул. Дениса Давыдова, д. 2б",УК «Жфс»,265-84-17,1958,2 041.10,117
19,4295,"г. Новосибирск, ул. Дениса Давыдова, д. 2в",УК «Жфс»,265-84-17,1959,2 313.70,98
20,4296,"г. Новосибирск, ул. Дениса Давыдова, д. 4",УК «Жфс»,265-84-17,1951,1 773.20,90
21,4297,"г. Новосибирск, ул. Дениса Давыдова, д. 7",УК «Жфс»,265-84-17,1975,10 924.10,518
22,4298,"г. Новосибирск, ул. Забайкальская, д. 53",УК «Жфс»,265-84-17,1959,2 203.80,79
23,4299,"г. Новосибирск, ул. Республиканская, д. 15",УК «Жфс»,265-84-17,1962,4 375.00,167
24,4300,"г. Новосибирск, ул. Трикотажная, д. 54",УК «Жфс»,265-84-17,1962,3 610.40,194
1,4302,"г. Новосибирск, ул. Трикотажная, д. 56",УК «Жфс»,265-84-17,1962,3 587.00,167
2,4303,"г. Новосибирск, ул. Трикотажная, д. 56/1",УК «Жфс»,265-84-17,1962,3 599.20,203
3,4304,"г. Новосибирск, ул. Трикотажная, д. 58/1",УК «Жфс»,265-84-17,1962,3 670.00,186
4,4305,"г. Новосибирск, ул. Трикотажная, д. 60",УК «Жфс»,265-84-17,1962,3 203.00,154
5,4306,"г. Новосибирск, ул. Трикотажная, д. 60/1",УК «Жфс»,265-84-17,1962,3 225.70,170
6,4307,"г. Новосибирск, ул. Трикотажная, д. 60/3",УК «Жфс»,265-84-17,1964,3 422.50,134
7,4308,"г. Новосибирск, ул. Зеленодолинская, д. 55/1",УК «Укжх»,+7383349-53-54,2012,8 655.20,190
8,4309,"г. Новосибирск, ул. Согласия, д. 18",УК «Укжх»,+7383349-53-54,—,3 274.40,—
9,4310,"г. Новосибирск, ул. 2 Кирзавод, д. 7",УК «УКЖХ Октябрьского района»,266-16-16,1933,353.90,40
10,4311,"г. Новосибирск, ул. 2 Кирзавод, д. 10",УК «УКЖХ Октябрьского района»,266-16-16,1950,250.60,33
11,4312,"г. Новосибирск, ул. 2 Кирзавод, д. 17",УК «УКЖХ Октябрьского района»,266-16-16,1957,294.90,21
12,4313,"г. Новосибирск, ул. 2 Кирзавод, д. 18",УК «УКЖХ Октябрьского района»,266-16-16,1957,308.90,28
13,4314,"г. Новосибирск, ул. 3 Интернационала, д. 23",УК «УКЖХ Октябрьского района»,266-16-16,1996,4 697.20,115
14,4315,"г. Новосибирск, ул. Абразивная, д. 13",УК «УКЖХ Октябрьского района»,266-16-16,1900,63.90,4
15,4316,"г. Новосибирск, ул. Автогенная, д. 77",УК «УКЖХ Октябрьского района»,266-16-16,1970,4 862.40,203
16,4317,"г. Новосибирск, ул. Автогенная, д. 113",УК «УКЖХ Октябрьского района»,266-16-16,1955,560.40,29
17,4318,"г. Новосибирск, ул. Алтайская, д. 10/1",УК «УКЖХ Октябрьского района»,266-16-16,1959,717.40,38
18,4319,"г. Новосибирск, ул. Алтайская, д. 10/2",УК «УКЖХ Октябрьского района»,266-16-16,1959,735.90,46
19,4320,"г. Новосибирск, пер. Бердский, д. 5",УК «УКЖХ Октябрьского района»,266-16-16,1952,407.70,35
20,4321,"г. Новосибирск, пер. Бердский, д. 26",УК «УКЖХ Октябрьского района»,266-16-16,1942,68.10,8
21,4322,"г. Новосибирск, ул. Большевистская, д. 7",УК «УКЖХ Октябрьского района»,266-16-16,1930,106.20,5
22,4323,"г. Новосибирск, ул. Большевистская, д. 16",УК «УКЖХ Октябрьского района»,266-16-16,1959,2 295.65,73
23,4324,"г. Новосибирск, ул. Большевистская, д. 20",УК «УКЖХ Октябрьского района»,266-16-16,1962,1 753.70,69
24,4325,"г. Новосибирск, ул. Большевистская, д. 22",УК «УКЖХ Октябрьского района»,266-16-16,1933,2 126.52,71
1,4327,"г. Новосибирск, ул. Большевистская, д. 26",УК «УКЖХ Октябрьского района»,266-16-16,1953,2 907.06,94
2,4328,"г. Новосибирск, ул. Большевистская, д. 27",УК «УКЖХ Октябрьского района»,266-16-16,1907,57.30,5
3,4329,"г. Новосибирск, ул. Большевистская, д. 33",УК «УКЖХ Октябрьского района»,266-16-16,1926,106.30,10
4,4330,"г. Новосибирск, ул. Большевистская, д. 34",УК «УКЖХ Октябрьского района»,266-16-16,1944,5 573.40,206
5,4331,"г. Новосибирск, ул. Большевистская, д. 38",УК «УКЖХ Октябрьского района»,266-16-16,1959,301.30,16
6,4332,"г. Новосибирск, ул. Большевистская, д. 40",УК «УКЖХ Октябрьского района»,266-16-16,1959,296.20,17
7,4333,"г. Новосибирск, ул. Большевистская, д. 48",УК «УКЖХ Октябрьского района»,266-16-16,1941,10 267.69,266
8,4334,"г. Новосибирск, ул. Большевистская, д. 48/1",УК «УКЖХ Октябрьского района»,266-16-16,1992,13 891.50,633
9,4335,"г. Новосибирск, ул. Большевистская, д. 141",УК «УКЖХ Октябрьского района»,266-16-16,1936,146.50,2
10,4336,"г. Новосибирск, ул. Большевистская, д. 143",УК «УКЖХ Октябрьского района»,266-16-16,1958,557.60,27
11,4337,"г. Новосибирск, ул. Большевистская, д. 145",УК «УКЖХ Октябрьского района»,266-16-16,1996,4 348.60,189
12,4338,"г. Новосибирск, ул. Большевистская, д. 151",УК «УКЖХ Октябрьского района»,266-16-16,1963,3 723.70,127
13,4339,"г. Новосибирск, ул. Большевистская, д. 153",УК «УКЖХ Октябрьского района»,266-16-16,1963,3 460.70,122
14,4340,"г. Новосибирск, ул. Большевистская, д. 155",УК «УКЖХ Октябрьского района»,266-16-16,1982,3 488.80,181
15,4341,"г. Новосибирск, ул. Большевистская, д. 165",УК «УКЖХ Октябрьского района»,266-16-16,1972,5 938.25,246
16,4342,"г. Новосибирск, ул. Большевистская, д. 175/1",УК «УКЖХ Октябрьского района»,266-16-16,1968,3 418.80,109
17,4343,"г. Новосибирск, ул. Большевистская, д. 175/2",УК «УКЖХ Октябрьского района»,266-16-16,1972,3 670.90,148
18,4344,"г. Новосибирск, ул. Большевистская, д. 175/3",УК «УКЖХ Октябрьского района»,266-16-16,1972,3 797.53,161
19,4345,"г. Новосибирск, ул. Большевистская, д. 175/6",УК «УКЖХ Октябрьского района»,266-16-16,1984,19 737.00,698
20,4346,"г. Новосибирск, ул. Большевистская, д. 237",УК «УКЖХ Октябрьского района»,266-16-16,1957,426.50,25
21,4347,"г. Новосибирск, ул. Большевистская, д. 239",УК «УКЖХ Октябрьского района»,266-16-16,1959,434.40,26
22,4348,"г. Новосибирск, ул. Бориса Богаткова, д. 24",УК «УКЖХ Октябрьского района»,266-16-16,1970,7 125.92,—
23,4349,"г. Новосибирск, ул. Бориса Богаткова, д. 26",УК «УКЖХ Октябрьского района»,266-16-16,1994,8 432.80,263
24,4350,"г. Новосибирск, ул. Бориса Богаткова, д. 50",УК «УКЖХ Октябрьского района»,266-16-16,1967,4 126.60,142
1,4352,"г. Новосибирск, ул. Бориса Богаткова, д. 147",УК «УКЖХ Октябрьского района»,266-16-16,1952,517.50,19
2,4353,"г. Новосибирск, ул. Бориса Богаткова, д. 149",УК «УКЖХ Октябрьского района»,266-16-16,1952,517.10,22
3,4354,"г. Новосибирск, ул. Бориса Богаткова, д. 151",УК «УКЖХ Октябрьского района»,266-16-16,1952,519.50,27
4,4355,"г. Новосибирск, ул. Бориса Богаткова, д. 153",УК «УКЖХ Октябрьского района»,266-16-16,1952,520.10,15
5,4356,"г. Новосибирск, ул. Бориса Богаткова, д. 155",УК «УКЖХ Октябрьского района»,266-16-16,1956,524.30,31
6,4357,"г. Новосибирск, ул. Бориса Богаткова, д. 157",УК «УКЖХ Октябрьского района»,266-16-16,1955,514.78,25
7,4358,"г. Новосибирск, ул. Бориса Богаткова, д. 158",УК «УКЖХ Октябрьского района»,266-16-16,1951,531.90,22
8,4359,"г. Новосибирск, ул. Бориса Богаткова, д. 159",УК «УКЖХ Октябрьского района»,266-16-16,1955,493.11,13
9,4360,"г. Новосибирск, ул. Бориса Богаткова, д. 160",УК «УКЖХ Октябрьского района»,266-16-16,1952,519.40,18
10,4361,"г. Новосибирск, ул. Бориса Богаткова, д. 162",УК «УКЖХ Октябрьского района»,266-16-16,1957,525.30,27
11,4362,"г. Новосибирск, ул. Бориса Богаткова, д. 163",УК «УКЖХ Октябрьского района»,266-16-16,1958,1 384.11,61
12,4363,"г. Новосибирск, ул. Бориса Богаткова, д. 163/2",УК «УКЖХ Октябрьского района»,266-16-16,1972,3 679.30,181
13,4364,"г. Новосибирск, ул. Бориса Богаткова, д. 163/3",УК «УКЖХ Октябрьского района»,266-16-16,1972,3 651.40,163
14,4365,"г. Новосибирск, ул. Бориса Богаткова, д. 163/4",УК «УКЖХ Октябрьского района»,266-16-16,1970,3 709.80,154
15,4366,"г. Новосибирск, ул. Бориса Богаткова, д. 163/5",УК «УКЖХ Октябрьского района»,266-16-16,1971,3 809.70,167
16,4367,"г. Новосибирск, ул. Бориса Богаткова, д. 163/6",УК «УКЖХ Октябрьского района»,266-16-16,1972,2 265.70,75
17,4368,"г. Новосибирск, ул. Бориса Богаткова, д. 163/8",УК «УКЖХ Октябрьского района»,266-16-16,1972,7 916.50,329
18,4369,"г. Новосибирск, ул. Бориса Богаткова, д. 163/9",УК «УКЖХ Октябрьского района»,266-16-16,1973,9 146.40,333
19,4370,"г. Новосибирск, ул. Бориса Богаткова, д. 164",УК «УКЖХ Октябрьского района»,266-16-16,1952,529.60,18
20,4371,"г. Новосибирск, ул. Бориса Богаткова, д. 165",УК «УКЖХ Октябрьского района»,266-16-16,1970,12 867.80,556
21,4372,"г. Новосибирск, ул. Бориса Богаткова, д. 165/3",УК «УКЖХ Октябрьского района»,266-16-16,2000,11 488.50,510
22,4373,"г. Новосибирск, ул. Бориса Богаткова, д. 165/4",УК «УКЖХ Октябрьского района»,266-16-16,2011,3 884.00,180
23,4374,"г. Новосибирск, ул. Бориса Богаткова, д. 166",УК «УКЖХ Октябрьского района»,266-16-16,1957,527.20,21
24,4375,"г. Новосибирск, ул. Бориса Богаткова, д. 167",УК «УКЖХ Октябрьского района»,266-16-16,1969,4 708.80,227
1,4377,"г. Новосибирск, ул. Бориса Богаткова, д. 169",УК «УКЖХ Октябрьского района»,266-16-16,1969,4 821.20,198
2,4378,"г. Новосибирск, ул. Бориса Богаткова, д. 170",УК «УКЖХ Октябрьского района»,266-16-16,1957,533.10,21
3,4379,"г. Новосибирск, ул. Бориса Богаткова, д. 171",УК «УКЖХ Октябрьского района»,266-16-16,1969,4 828.30,226
4,4380,"г. Новосибирск, ул. Бориса Богаткова, д. 171/1",УК «УКЖХ Октябрьского района»,266-16-16,1973,3 488.00,174
5,4381,"г. Новосибирск, ул. Бориса Богаткова, д. 171/2",УК «УКЖХ Октябрьского района»,266-16-16,1974,2 252.76,83
6,4382,"г. Новосибирск, ул. Бориса Богаткова, д. 171/3",УК «УКЖХ Октябрьского района»,266-16-16,1974,2 268.60,95
7,4383,"г. Новосибирск, ул. Бориса Богаткова, д. 171/4",УК «УКЖХ Октябрьского района»,266-16-16,1972,3 647.20,153
8,4384,"г. Новосибирск, ул. Бориса Богаткова, д. 171/5",УК «УКЖХ Октябрьского района»,266-16-16,1976,4 501.80,158
9,4385,"г. Новосибирск, ул. Бориса Богаткова, д. 171/6",УК «УКЖХ Октябрьского района»,266-16-16,1973,5 012.86,175
10,4386,"г. Новосибирск, ул. Бориса Богаткова, д. 172",УК «УКЖХ Октябрьского района»,266-16-16,1952,488.58,24
11,4387,"г. Новосибирск, ул. Бориса Богаткова, д. 173",УК «УКЖХ Октябрьского района»,266-16-16,1970,8 440.90,338
12,4388,"г. Новосибирск, ул. Бориса Богаткова, д. 174",УК «УКЖХ Октябрьского района»,266-16-16,1957,519.30,22
13,4389,"г. Новосибирск, ул. Бориса Богаткова, д. 175",УК «УКЖХ Октябрьского района»,266-16-16,1970,12 085.20,496
14,4390,"г. Новосибирск, ул. Бориса Богаткова, д. 176",УК «УКЖХ Октябрьского района»,266-16-16,1955,512.28,21
15,4391,"г. Новосибирск, ул. Бориса Богаткова, д. 177",УК «УКЖХ Октябрьского района»,266-16-16,1970,8 673.40,355
16,4392,"г. Новосибирск, ул. Бориса Богаткова, д. 178",УК «УКЖХ Октябрьского района»,266-16-16,1956,509.81,22
17,4393,"г. Новосибирск, ул. Бориса Богаткова, д. 180",УК «УКЖХ Октябрьского района»,266-16-16,1957,469.10,6
18,4394,"г. Новосибирск, ул. Бориса Богаткова, д. 181/1",УК «УКЖХ Октябрьского района»,266-16-16,1980,6 423.60,305
19,4395,"г. Новосибирск, ул. Бориса Богаткова, д. 182",УК «УКЖХ Октябрьского района»,266-16-16,1958,1 318.70,40
20,4396,"г. Новосибирск, ул. Бориса Богаткова, д. 183",УК «УКЖХ Октябрьского района»,266-16-16,1970,12 764.84,554
21,4397,"г. Новосибирск, ул. Бориса Богаткова, д. 184",УК «УКЖХ Октябрьского района»,266-16-16,1961,1 405.00,54
22,4398,"г. Новосибирск, ул. Бориса Богаткова, д. 184/1",УК «УКЖХ Октябрьского района»,266-16-16,1984,3 527.20,163
23,4399,"г. Новосибирск, ул. Бориса Богаткова, д. 184/3",УК «УКЖХ Октябрьского района»,266-16-16,1961,1 384.60,69
24,4400,"г. Новосибирск, ул. Бориса Богаткова, д. 186",УК «УКЖХ Октябрьского района»,266-16-16,1959,1 392.20,44
1,4402,"г. Новосибирск, ул. Бориса Богаткова, д. 186/3",УК «УКЖХ Октябрьского района»,266-16-16,1961,1 383.60,57
2,4403,"г. Новосибирск, ул. Бориса Богаткова, д. 188",УК «УКЖХ Октябрьского района»,266-16-16,1960,1 353.40,56
3,4404,"г. Новосибирск, ул. Бориса Богаткова, д. 188/1",УК «УКЖХ Октябрьского района»,266-16-16,1985,3 552.40,136
4,4405,"г. Новосибирск, ул. Бориса Богаткова, д. 188/3",УК «УКЖХ Октябрьского района»,266-16-16,1961,1 386.90,68
5,4406,"г. Новосибирск, ул. Бориса Богаткова, д. 190",УК «УКЖХ Октябрьского района»,266-16-16,1960,1 407.80,58
6,4407,"г. Новосибирск, ул. Бориса Богаткова, д. 192",УК «УКЖХ Октябрьского района»,266-16-16,1960,1 332.20,56
7,4408,"г. Новосибирск, ул. Бориса Богаткова, д. 192/1",УК «УКЖХ Октябрьского района»,266-16-16,1992,7 153.90,289
8,4409,"г. Новосибирск, ул. Бориса Богаткова, д. 192/2",УК «УКЖХ Октябрьского района»,266-16-16,1992,4 857.30,182
9,4410,"г. Новосибирск, ул. Бориса Богаткова, д. 192/3",УК «УКЖХ Октябрьского района»,266-16-16,1993,4 959.61,179
10,4411,"г. Новосибирск, ул. Бориса Богаткова, д. 192/4",УК «УКЖХ Октябрьского района»,266-16-16,2003,5 004.57,201
11,4412,"г. Новосибирск, ул. Бориса Богаткова, д. 194",УК «УКЖХ Октябрьского района»,266-16-16,1962,2 779.30,115
12,4413,"г. Новосибирск, ул. Бориса Богаткова, д. 199",УК «УКЖХ Октябрьского района»,266-16-16,1973,5 183.10,226
13,4414,"г. Новосибирск, ул. Бориса Богаткова, д. 201",УК «УКЖХ Октябрьского района»,266-16-16,1975,6 607.10,163
14,4415,"г. Новосибирск, ул. Бориса Богаткова, д. 203",УК «УКЖХ Октябрьского района»,266-16-16,1971,8 588.50,342
15,4416,"г. Новосибирск, ул. Бориса Богаткова, д. 207",УК «УКЖХ Октябрьского района»,266-16-16,1972,8 551.70,364
16,4417,"г. Новосибирск, ул. Бориса Богаткова, д. 209",УК «УКЖХ Октябрьского района»,266-16-16,1972,8 718.80,336
17,4418,"г. Новосибирск, ул. Бориса Богаткова, д. 211",УК «УКЖХ Октябрьского района»,266-16-16,1972,8 506.90,365
18,4419,"г. Новосибирск, ул. Бориса Богаткова, д. 213",УК «УКЖХ Октябрьского района»,266-16-16,1989,6 071.90,156
19,4420,"г. Новосибирск, ул. Бориса Богаткова, д. 215",УК «УКЖХ Октябрьского района»,266-16-16,1989,2 135.80,83
20,4421,"г. Новосибирск, ул. Бориса Богаткова, д. 217",УК «УКЖХ Октябрьского района»,266-16-16,1973,12 183.30,571
21,4422,"г. Новосибирск, ул. Бориса Богаткова, д. 217/1",УК «УКЖХ Октябрьского района»,266-16-16,1998,4 721.10,165
22,4423,"г. Новосибирск, ул. Бориса Богаткова, д. 219",УК «УКЖХ Октябрьского района»,266-16-16,1973,12 170.50,558
23,4424,"г. Новосибирск, ул. Бориса Богаткова, д. 221",УК «УКЖХ Октябрьского района»,266-16-16,1988,4 872.10,167
24,4425,"г. Новосибирск, ул. Вилюйская, д. 10",УК «УКЖХ Октябрьского района»,266-16-16,1955,66.10,7
1,4427,"г. Новосибирск, ул. Вилюйская, д. 20",УК «УКЖХ Октябрьского района»,266-16-16,1959,76.40,6
2,4428,"г. Новосибирск, ул. Вилюйская, д. 22",УК «УКЖХ Октябрьского района»,266-16-16,1959,79.30,7
3,4429,"г. Новосибирск, ул. Вилюйская, д. 23",УК «УКЖХ Октябрьского района»,266-16-16,1955,89.10,6
4,4430,"г. Новосибирск, ул. Вилюйская, д. 24",УК «УКЖХ Октябрьского района»,266-16-16,1975,14 208.90,625
5,4431,"г. Новосибирск, ул. Вилюйская, д. 27",УК «УКЖХ Октябрьского района»,266-16-16,1957,27.90,3
6,4432,"г. Новосибирск, ул. Вилюйская, д. 33",УК «УКЖХ Октябрьского района»,266-16-16,1959,96.80,5
7,4433,"г. Новосибирск, ул. Вилюйская, д. 37",УК «УКЖХ Октябрьского района»,266-16-16,1959,84.20,6
8,4434,"г. Новосибирск, ул. Вилюйская, д. 39",УК «УКЖХ Октябрьского района»,266-16-16,1959,98.30,11
9,4435,"г. Новосибирск, ул. Водонасосная 1-я, д. 1",УК «УКЖХ Октябрьского района»,266-16-16,1959,72.60,5
10,4436,"г. Новосибирск, ул. Водонасосная 1-я, д. 3",УК «УКЖХ Октябрьского района»,266-16-16,1959,62.60,10
11,4437,"г. Новосибирск, ул. Водонасосная 1-я, д. 5",УК «УКЖХ Октябрьского района»,266-16-16,1959,68.20,2
12,4438,"г. Новосибирск, ул. Водонасосная 2-я, д. 6",УК «УКЖХ Октябрьского района»,266-16-16,1959,31.80,4
13,4439,"г. Новосибирск, ул. Военная, д. 12",УК «УКЖХ Октябрьского района»,266-16-16,—,4 021.40,153
14,4440,"г. Новосибирск, ул. Воинская, д. 7",УК «УКЖХ Октябрьского района»,266-16-16,1954,1 990.50,95
15,4441,"г. Новосибирск, ул. Воинская, д. 67",УК «УКЖХ Октябрьского района»,266-16-16,1954,89.90,5
16,4442,"г. Новосибирск, ул. Воинская, д. 71",УК «УКЖХ Октябрьского района»,266-16-16,1993,15 522.40,603
17,4443,"г. Новосибирск, ул. Воинская, д. 74",УК «УКЖХ Октябрьского района»,266-16-16,1954,41.20,1
18,4444,"г. Новосибирск, ул. Воинская, д. 75А",УК «УКЖХ Октябрьского района»,266-16-16,1971,1 456.80,64
19,4445,"г. Новосибирск, ул. Воинская, д. 77",УК «УКЖХ Октябрьского района»,266-16-16,1947,87.80,3
20,4446,"г. Новосибирск, ул. Воинская, д. 79",УК «УКЖХ Октябрьского района»,266-16-16,1948,95.60,3
21,4447,"г. Новосибирск, ул. Воинская, д. 81",УК «УКЖХ Октябрьского района»,266-16-16,1949,78.70,4
22,4448,"г. Новосибирск, ул. Воинская, д. 110/1",УК «УКЖХ Октябрьского района»,266-16-16,1996,4 751.50,154
23,4449,"г. Новосибирск, ул. Воинская, д. 224",УК «УКЖХ Октябрьского района»,266-16-16,1957,426.80,18
24,4450,"г. Новосибирск, ул. Воинская, д. 226",УК «УКЖХ Октябрьского района»,266-16-16,1957,429.30,26
